epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.723,3.62757,6.43293,2.86704,3.49093,0.01351,0.13253,0.0135,0.00402,0.00746,0.07315,0.00568,0.00149,3.15464,4.98955,2.93404,2.90141,0.0673708,0.000329588,0.000329588
2,40.6914,3.2724,4.21038,2.2997,2.76149,0.18543,0.25559,0.10797,0.03206,0.15562,0.22461,0.08913,0.01964,2.91125,5.94269,3.25435,3.20835,0.0343707,0.000662881,0.000662881
3,59.7945,2.6896,3.86689,1.95734,2.45943,0.30463,0.65921,0.28208,0.1031,0.30857,0.7074,0.29978,0.08592,2.45469,10.8912,2.88932,3.0302,0.00137054,0.000996011,0.000996011
4,79.1054,2.40504,3.80367,1.79927,2.29939,0.39682,0.7074,0.37885,0.14414,0.39392,0.70224,0.3689,0.10033,2.43013,9.77928,3.02296,2.85762,0.00099945,0.00099945,0.00099945
5,98.6611,2.2753,3.72176,1.67419,2.16607,0.42602,0.69277,0.46092,0.19827,0.43078,0.70052,0.4726,0.17357,2.20852,6.90506,1.83224,2.39957,0.000999023,0.000999023,0.000999023
6,117.963,2.19529,3.67491,1.636,2.08412,0.40052,0.71084,0.39383,0.17124,0.39428,0.71945,0.38486,0.1175,2.07972,7.87209,2.60542,2.21489,0.000998474,0.000998474,0.000998474
7,137.06,2.03726,3.62745,1.5263,1.9799,0.45198,0.71515,0.50775,0.24126,0.45217,0.71945,0.50274,0.1576,1.93416,3.5763,1.5063,1.99181,0.000997803,0.000997803,0.000997803
8,156.654,2.00047,3.57443,1.47381,1.90981,0.44575,0.74871,0.48911,0.24803,0.43171,0.72117,0.46023,0.13521,1.89292,3.43463,1.5265,1.93471,0.000997011,0.000997011,0.000997011
9,175.598,1.93092,3.52058,1.43075,1.86824,0.49484,0.75904,0.55133,0.25385,0.49008,0.74871,0.53979,0.18147,1.98767,3.59917,1.54352,2.00611,0.000996097,0.000996097,0.000996097
10,194.911,1.82908,3.4845,1.34374,1.79348,0.49036,0.75929,0.54327,0.29401,0.49007,0.76076,0.53784,0.20288,1.77514,3.32199,1.44074,1.83427,0.000995062,0.000995062,0.000995062
11,213.738,1.76484,3.40866,1.3203,1.74188,0.49032,0.7969,0.5888,0.31067,0.4901,0.79159,0.58312,0.2211,1.75369,3.15114,1.36876,1.81604,0.000993906,0.000993906,0.000993906
12,233.082,1.75698,3.35353,1.3172,1.73303,0.5067,0.78571,0.5847,0.30744,0.49671,0.77022,0.56635,0.18443,1.70586,3.40574,1.34165,1.76808,0.000992629,0.000992629,0.000992629
13,252.069,1.68542,3.32441,1.28091,1.6767,0.52388,0.82186,0.61569,0.35272,0.51851,0.80998,0.60533,0.24279,1.6704,3.12214,1.27891,1.75737,0.000991232,0.000991232,0.000991232
14,271.007,1.61607,3.23903,1.21915,1.62579,0.52128,0.77281,0.63583,0.37057,0.51737,0.77032,0.63213,0.25783,1.60594,3.11782,1.25273,1.6933,0.000989715,0.000989715,0.000989715
15,289.917,1.591,3.20866,1.20439,1.59959,0.58465,0.79948,0.65882,0.38153,0.5807,0.79138,0.64615,0.26457,1.56494,2.94885,1.18616,1.66287,0.000988079,0.000988079,0.000988079
16,309.302,1.53051,3.15395,1.1735,1.56265,0.5007,0.81325,0.52654,0.32009,0.49497,0.80972,0.51985,0.21855,1.51981,7.34592,3.04589,1.66195,0.000986323,0.000986323,0.000986323
17,328.188,1.52388,3.07252,1.19853,1.55259,0.53336,0.82014,0.59508,0.37063,0.52576,0.81756,0.58701,0.26803,1.4975,11.3975,1.98694,1.72204,0.000984449,0.000984449,0.000984449
18,347.159,1.48472,3.09638,1.11209,1.50947,0.59248,0.78571,0.67724,0.41525,0.57844,0.80296,0.67462,0.29546,1.44178,2.96056,1.2241,1.55167,0.000982456,0.000982456,0.000982456
19,366.687,1.47031,2.9939,1.0911,1.49334,0.62211,0.80895,0.74162,0.46547,0.6188,0.80465,0.7378,0.33432,1.37007,2.73905,1.04664,1.52738,0.000980345,0.000980345,0.000980345
20,386.132,1.44127,3.0061,1.10512,1.47591,0.61653,0.80465,0.77411,0.50055,0.61156,0.79532,0.76809,0.36873,1.34395,2.679,1.03903,1.4962,0.000978118,0.000978118,0.000978118
21,405.348,1.3845,2.92573,1.0566,1.43704,0.62226,0.79104,0.70335,0.43844,0.61752,0.78502,0.69749,0.30926,1.49704,2.95091,1.31652,1.5956,0.000975773,0.000975773,0.000975773
22,424.091,1.41444,2.89779,1.07659,1.45532,0.62211,0.81325,0.70418,0.41824,0.61359,0.81445,0.70188,0.33266,1.48258,3.03892,1.15472,1.59853,0.000973312,0.000973312,0.000973312
23,443.305,1.35527,2.82502,1.02956,1.4284,0.62705,0.82041,0.76856,0.49743,0.62574,0.81869,0.76494,0.39213,1.35109,2.56021,0.99733,1.50299,0.000970736,0.000970736,0.000970736
24,462.545,1.36997,2.84408,1.05172,1.4202,0.6431,0.77224,0.76737,0.50116,0.64119,0.76592,0.76009,0.37547,1.3345,2.97155,1.00432,1.49916,0.000968045,0.000968045,0.000968045
25,481.577,1.32461,2.75458,1.00755,1.41024,0.66641,0.77625,0.77737,0.51328,0.66548,0.77213,0.77343,0.37976,1.32265,2.52952,0.98231,1.48001,0.000965239,0.000965239,0.000965239
26,500.535,1.29805,2.72465,0.99248,1.39567,0.63857,0.84691,0.77626,0.52222,0.63268,0.84489,0.77468,0.39392,1.24676,2.44567,0.94723,1.42331,0.00096232,0.00096232,0.00096232
