epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7574,1.10683,2.49233,0.9743,1.19082,0.77831,0.76139,0.86232,0.61954,0.44998,0.40361,0.32315,0.12991,1.09725,8.69903,0.84466,1.34961,0.0673708,0.000329588,0.000329588
2,48.4658,1.02213,2.25273,0.84168,1.12492,0.68327,0.81325,0.80411,0.60586,0.67873,0.80551,0.79638,0.45721,0.94269,2.13569,0.87411,1.22913,0.0343707,0.000662881,0.000662881
3,67.5322,0.99501,2.17993,0.82933,1.10518,0.72458,0.80981,0.86258,0.65927,0.72563,0.80637,0.85993,0.54521,0.90131,1.71275,0.73375,1.18337,0.00137054,0.000996011,0.000996011
4,86.3925,1.01843,2.24012,0.84743,1.12225,0.67162,0.81928,0.81217,0.60502,0.67021,0.81756,0.81198,0.45686,0.93441,1.83048,0.83732,1.22683,0.00099945,0.00099945,0.00099945
5,105.849,0.98331,2.07979,0.79128,1.10098,0.7223,0.79948,0.83799,0.64076,0.72075,0.79776,0.83725,0.52399,0.89352,1.66167,0.73177,1.1784,0.000999023,0.000999023,0.000999023
6,124.943,0.97388,2.06546,0.78173,1.09424,0.74957,0.83305,0.87291,0.6617,0.74802,0.83133,0.87046,0.53258,0.96757,1.77206,0.72033,1.25531,0.000998474,0.000998474,0.000998474
7,143.93,0.9622,2.10034,0.75896,1.08956,0.70586,0.82609,0.85061,0.64211,0.7066,0.82695,0.85177,0.52148,0.96927,1.72712,0.77194,1.28461,0.000997803,0.000997803,0.000997803
8,162.589,0.9595,2.0433,0.76918,1.08656,0.73242,0.81928,0.85929,0.66221,0.73242,0.81928,0.85836,0.52873,0.87937,1.69072,0.74085,1.18544,0.000997011,0.000997011,0.000997011
9,181.547,0.94262,2.04337,0.73607,1.07865,0.72411,0.81067,0.85534,0.65405,0.7203,0.81115,0.85396,0.52609,0.88906,1.64491,0.71545,1.19369,0.000996097,0.000996097,0.000996097
10,200.414,0.93444,2.01006,0.72039,1.07259,0.72046,0.83391,0.86201,0.66042,0.72046,0.83391,0.8604,0.53445,0.9096,1.58864,0.69855,1.19959,0.000995062,0.000995062,0.000995062
11,219.175,0.92211,1.9789,0.72733,1.05733,0.74716,0.80637,0.86601,0.6574,0.74443,0.80551,0.86485,0.52957,0.91504,1.60267,0.71037,1.21062,0.000993906,0.000993906,0.000993906
12,238.173,0.9065,1.89886,0.71819,1.06158,0.73392,0.83993,0.86479,0.66148,0.73317,0.83907,0.86237,0.50568,0.86953,1.66925,0.66824,1.16521,0.000992629,0.000992629,0.000992629
13,257.368,0.94046,2.00711,0.74848,1.07377,0.71718,0.82272,0.83012,0.61757,0.71568,0.821,0.82618,0.48183,0.99025,1.75758,0.7332,1.27807,0.000991232,0.000991232,0.000991232
14,276.309,0.91743,1.98775,0.71558,1.05912,0.72233,0.83505,0.85573,0.65235,0.72159,0.83419,0.85501,0.51831,0.89695,1.57856,0.69157,1.20323,0.000989715,0.000989715,0.000989715
15,295.013,0.92078,1.95167,0.71744,1.07005,0.72013,0.8481,0.8615,0.65016,0.71794,0.84552,0.85661,0.52071,0.90535,1.64248,0.68631,1.22065,0.000988079,0.000988079,0.000988079
16,313.591,0.9229,1.97906,0.72312,1.07181,0.75368,0.83563,0.87597,0.67721,0.75384,0.83305,0.87678,0.55569,0.90318,1.59267,0.69111,1.23618,0.000986323,0.000986323,0.000986323
17,333.012,0.9338,1.97846,0.76004,1.07182,0.6727,0.86059,0.83875,0.64908,0.67068,0.858,0.83618,0.52104,0.90544,1.62148,0.67537,1.20801,0.000984449,0.000984449,0.000984449
18,351.886,0.92116,2.03074,0.7241,1.055,0.69699,0.8314,0.85739,0.63335,0.69627,0.83054,0.85586,0.52442,0.97915,1.63691,0.74323,1.25323,0.000982456,0.000982456,0.000982456
19,371.206,0.91074,1.93108,0.70379,1.05137,0.76309,0.8167,0.8718,0.67149,0.75644,0.8232,0.86889,0.52943,0.87988,1.65158,0.72496,1.16402,0.000980345,0.000980345,0.000980345
20,389.968,0.90936,1.96371,0.72022,1.04841,0.71677,0.85156,0.86431,0.66152,0.71532,0.84984,0.8622,0.52391,0.861,1.55655,0.67704,1.15885,0.000978118,0.000978118,0.000978118
