epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4009,1.0942,2.45925,0.99256,1.18113,0.70299,0.77453,0.83706,0.62693,0.69945,0.72299,0.78755,0.41216,0.99081,2.33455,0.82618,1.23891,0.0673708,0.000329588,0.000329588
2,32.1152,1.01367,2.24047,0.84833,1.11813,0.74961,0.77625,0.85333,0.64228,0.74879,0.76592,0.8459,0.51373,0.97639,2.01494,0.77155,1.22892,0.0343707,0.000662881,0.000662881
3,47.7477,1.00457,2.18069,0.82619,1.11235,0.67803,0.8282,0.82746,0.61955,0.67028,0.81873,0.81541,0.46558,0.99924,1.80989,0.8251,1.29217,0.00137054,0.000996011,0.000996011
4,63.4167,1.02629,2.27305,0.86622,1.12162,0.73098,0.79505,0.8507,0.62427,0.72386,0.78731,0.83894,0.47561,1.00786,1.89979,0.87937,1.28621,0.00099945,0.00099945,0.00099945
5,78.3359,0.98256,2.10143,0.80091,1.10136,0.73061,0.81239,0.85989,0.64469,0.72955,0.81153,0.85863,0.50329,0.95714,1.84321,0.74793,1.25469,0.000999023,0.000999023,0.000999023
6,93.6646,0.97396,2.07608,0.79011,1.09103,0.70792,0.80551,0.84035,0.63298,0.70792,0.80551,0.83857,0.48807,0.94181,1.84621,0.76967,1.23853,0.000998474,0.000998474,0.000998474
7,108.5,0.95155,2.08461,0.76241,1.07926,0.64225,0.80981,0.78739,0.58558,0.63904,0.80809,0.78741,0.47302,1.01122,1.7564,0.8047,1.28908,0.000997803,0.000997803,0.000997803
8,123.596,0.95461,2.04454,0.77887,1.08237,0.67019,0.85688,0.83497,0.64082,0.67019,0.85688,0.83372,0.51722,0.90633,1.6976,0.73457,1.21716,0.000997011,0.000997011,0.000997011
9,138.692,0.95893,2.07197,0.75596,1.08502,0.71336,0.8253,0.86203,0.65874,0.71268,0.82822,0.86147,0.50287,0.89428,1.64718,0.72615,1.18988,0.000996097,0.000996097,0.000996097
10,154.466,0.93199,2.02342,0.72455,1.06737,0.73358,0.80567,0.85963,0.66697,0.72512,0.81497,0.85407,0.51175,0.89117,1.73061,0.70972,1.18476,0.000995062,0.000995062,0.000995062
11,170.134,0.90952,1.98893,0.72711,1.05086,0.75057,0.80465,0.87197,0.67542,0.75057,0.80465,0.87098,0.54094,0.87717,1.65346,0.70503,1.17943,0.000993906,0.000993906,0.000993906
12,185.469,0.90502,1.92163,0.72306,1.06177,0.73234,0.81067,0.86216,0.6636,0.73339,0.80723,0.85811,0.52515,0.88574,1.6653,0.69653,1.17789,0.000992629,0.000992629,0.000992629
13,200.838,0.9219,2.00911,0.75883,1.06152,0.70925,0.83735,0.8473,0.63988,0.7098,0.83649,0.84544,0.51374,0.96038,1.70807,0.73263,1.22759,0.000991232,0.000991232,0.000991232
