Model,Density,F1_Mean,F1_Std,IoU_Mean,Area_RMSE,N_Images
Hybrid-v11-SAM,Sparse (<10),0.486877294643897,0.40232832759323,0.5129916666666666,267.8608691245637,12
Hybrid-v11-SAM,Medium (10-30),0.7232501301899488,0.0773998637215594,0.8468333333333332,219.2890747928405,12
Hybrid-v11-SAM,Dense (>30),0.7062959321350015,0.039205201798352435,0.749325,2527.2299556801563,8
Hybrid-v8-SAM,Sparse (<10),0.47082453487179693,0.36945894333176693,0.506575,292.801504415534,12
Hybrid-v8-SAM,Medium (10-30),0.6959390999650189,0.10094447074923604,0.839875,160.48437027817798,12
Hybrid-v8-SAM,Dense (>30),0.6275887659556286,0.08010425753728394,0.7497875,1310.175545394061,8
Mask-RCNN,Sparse (<10),0.5573699824758321,0.4331730264538458,0.5781999999999999,265.1999286802317,12
Mask-RCNN,Medium (10-30),0.7424066561352368,0.06443781031992536,0.88205,312.5544364690734,12
Mask-RCNN,Dense (>30),0.6914889253056877,0.06800224213885614,0.8076125,1551.4744965289067,8
YOLOv11-ablation,Sparse (<10),0.5123173166920177,0.4059664159833616,0.5884916666666666,266.8492527581506,12
YOLOv11-ablation,Medium (10-30),0.6879096154718581,0.10327669805799085,0.8722083333333334,189.26240805558825,12
YOLOv11-ablation,Dense (>30),0.6369645833446339,0.08042997206479639,0.7763,1183.865769875802,8
YOLOv11l-seg,Sparse (<10),0.5193468957624067,0.42564125535363206,0.59835,229.19829135616027,12
YOLOv11l-seg,Medium (10-30),0.6766290927561549,0.11834386653214501,0.8994416666666667,238.51550621517953,12
YOLOv11l-seg,Dense (>30),0.6001733834606889,0.040832950445632586,0.8209625,3109.6852738530674,8
YOLOv8l-seg,Sparse (<10),0.507554534886518,0.3913309074415832,0.5826666666666667,247.38088132102422,12
YOLOv8l-seg,Medium (10-30),0.6310003236721362,0.09392282516980763,0.8849,259.53904385612196,12
YOLOv8l-seg,Dense (>30),0.5762921678150117,0.08068281384247863,0.805775,1781.1082553516715,8
