filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.03m_01_20.png,0.03m,Hybrid-v11-SAM,4,2,1,0.7705,183.29,204.693,-21.402,15.277,16.144,-0.867
0.03m_01_20.png,0.03m,Hybrid-v8-SAM,4,7,1,0.7764,258.904,204.693,54.211,18.156,16.144,2.012
0.03m_01_20.png,0.03m,Mask-RCNN,4,2,1,0.8771,257.894,204.693,53.202,18.121,16.144,1.977
0.03m_01_20.png,0.03m,YOLOv11-ablation,4,1,1,0.8524,187.382,204.693,-17.311,15.446,16.144,-0.698
0.03m_01_20.png,0.03m,YOLOv11l-seg,5,1,0,0.9032,225.15,204.693,20.458,16.931,16.144,0.788
0.03m_01_20.png,0.03m,YOLOv8l-seg,5,3,0,0.8781,276.187,204.693,71.494,18.752,16.144,2.609
0.03m_01_27.png,0.03m,Hybrid-v11-SAM,5,1,0,0.8436,247.708,238.536,9.172,17.759,17.427,0.332
0.03m_01_27.png,0.03m,Hybrid-v8-SAM,5,2,0,0.823,259.928,238.536,21.392,18.192,17.427,0.765
0.03m_01_27.png,0.03m,Mask-RCNN,5,0,0,0.8941,245.379,238.536,6.843,17.676,17.427,0.248
0.03m_01_27.png,0.03m,YOLOv11-ablation,5,1,0,0.8981,251.14,238.536,12.603,17.882,17.427,0.454
0.03m_01_27.png,0.03m,YOLOv11l-seg,5,0,0,0.9164,250.575,238.536,12.039,17.862,17.427,0.434
0.03m_01_27.png,0.03m,YOLOv8l-seg,5,2,0,0.8909,277.381,238.536,38.845,18.793,17.427,1.365
0.03m_sample_01.png,0.03m,Hybrid-v11-SAM,1,2,3,0.6114,68.743,157.61,-88.867,9.356,14.166,-4.81
0.03m_sample_01.png,0.03m,Hybrid-v8-SAM,4,2,0,0.5772,195.746,157.61,38.137,15.787,14.166,1.621
0.03m_sample_01.png,0.03m,Mask-RCNN,2,0,2,0.823,71.599,157.61,-86.011,9.548,14.166,-4.618
0.03m_sample_01.png,0.03m,YOLOv11-ablation,1,0,3,0.9071,37.822,157.61,-119.788,6.939,14.166,-7.227
0.03m_sample_01.png,0.03m,YOLOv11l-seg,1,2,3,0.8924,68.908,157.61,-88.702,9.367,14.166,-4.799
0.03m_sample_01.png,0.03m,YOLOv8l-seg,3,2,1,0.8197,137.786,157.61,-19.823,13.245,14.166,-0.921
0.03m_sample_07.png,0.03m,Hybrid-v11-SAM,7,0,0,0.7902,211.238,236.182,-24.944,16.4,17.341,-0.941
0.03m_sample_07.png,0.03m,Hybrid-v8-SAM,7,1,0,0.7802,212.833,236.182,-23.349,16.462,17.341,-0.879
0.03m_sample_07.png,0.03m,Mask-RCNN,7,0,0,0.837,242.066,236.182,5.884,17.556,17.341,0.215
0.03m_sample_07.png,0.03m,YOLOv11-ablation,7,0,0,0.874,230.858,236.182,-5.324,17.145,17.341,-0.197
0.03m_sample_07.png,0.03m,YOLOv11l-seg,6,0,1,0.8692,229.505,236.182,-6.677,17.094,17.341,-0.247
0.03m_sample_07.png,0.03m,YOLOv8l-seg,7,0,0,0.8531,242.072,236.182,5.89,17.556,17.341,0.215
0.04m_01_20.png,0.04m,Hybrid-v11-SAM,8,2,3,0.8449,295.262,385.513,-90.251,19.389,22.155,-2.766
0.04m_01_20.png,0.04m,Hybrid-v8-SAM,11,2,0,0.8266,391.811,385.513,6.298,22.335,22.155,0.18
0.04m_01_20.png,0.04m,Mask-RCNN,9,3,2,0.8954,508.595,385.513,123.082,25.447,22.155,3.292
0.04m_01_20.png,0.04m,YOLOv11-ablation,7,1,4,0.8759,313.277,385.513,-72.236,19.972,22.155,-2.183
0.04m_01_20.png,0.04m,YOLOv11l-seg,7,0,4,0.9087,270.411,385.513,-115.102,18.555,22.155,-3.6
0.04m_01_20.png,0.04m,YOLOv8l-seg,8,2,3,0.8962,321.608,385.513,-63.905,20.236,22.155,-1.919
0.04m_01_27.png,0.04m,Hybrid-v11-SAM,6,3,1,0.8045,318.621,331.894,-13.273,20.142,20.557,-0.415
0.04m_01_27.png,0.04m,Hybrid-v8-SAM,7,6,0,0.7937,421.125,331.894,89.231,23.156,20.557,2.599
0.04m_01_27.png,0.04m,Mask-RCNN,6,0,1,0.884,338.277,331.894,6.383,20.753,20.557,0.197
0.04m_01_27.png,0.04m,YOLOv11-ablation,6,2,1,0.9023,340.71,331.894,8.817,20.828,20.557,0.271
0.04m_01_27.png,0.04m,YOLOv11l-seg,6,2,1,0.8944,319.067,331.894,-12.827,20.156,20.557,-0.401
0.04m_01_27.png,0.04m,YOLOv8l-seg,5,4,2,0.8906,299.454,331.894,-32.439,19.526,20.557,-1.03
0.04m_sample_01.png,0.04m,Hybrid-v11-SAM,3,1,1,0.6859,115.851,216.541,-100.69,12.145,16.604,-4.459
